"Nutr_No"|"Units"|"Tagname"|"NutrDesc"|"Num_Dec"|"SR_Order"
"502"|"g"|"THR_G"|"Threonine"|"3"|16400.00
"503"|"g"|"ILE_G"|"Isoleucine"|"3"|16500.00
"504"|"g"|"LEU_G"|"Leucine"|"3"|16600.00
"505"|"g"|"LYS_G"|"Lysine"|"3"|16700.00
"506"|"g"|"MET_G"|"Methionine"|"3"|16800.00
"507"|"g"|"CYS_G"|"Cystine"|"3"|16900.00
"508"|"g"|"PHE_G"|"Phenylalanine"|"3"|17000.00
"509"|"g"|"TYR_G"|"Tyrosine"|"3"|17100.00
"510"|"g"|"VAL_G"|"Valine"|"3"|17200.00
"511"|"g"|"ARG_G"|"Arginine"|"3"|17300.00
"512"|"g"|"HISTN_G"|"Histidine"|"3"|17400.00
"513"|"g"|"ALA_G"|"Alanine"|"3"|17500.00
"514"|"g"|"ASP_G"|"Aspartic acid"|"3"|17600.00
"515"|"g"|"GLU_G"|"Glutamic acid"|"3"|17700.00
"516"|"g"|"GLY_G"|"Glycine"|"3"|17800.00
"517"|"g"|"PRO_G"|"Proline"|"3"|17900.00
"518"|"g"|"SER_G"|"Serine"|"3"|18000.00
"521"|"g"|"HYP"|"Hydroxyproline"|"3"|18100.00
"573"|"mg"||"Vitamin E, added"|"2"|7920.00
"578"|"mcg"||"Vitamin B-12, added"|"2"|7340.00
"601"|"mg"|"CHOLE"|"Cholesterol"|"0"|15700.00
"605"|"g"|"FATRN"|"Fatty acids, total trans"|"3"|15400.00
"606"|"g"|"FASAT"|"Fatty acids, total saturated"|"3"|9700.00
"607"|"g"|"F4D0"|"4:0"|"3"|9800.00
"608"|"g"|"F6D0"|"6:0"|"3"|9900.00
"609"|"g"|"F8D0"|"8:0"|"3"|10000.00
"610"|"g"|"F10D0"|"10:0"|"3"|10100.00
"611"|"g"|"F12D0"|"12:0"|"3"|10300.00
"612"|"g"|"F14D0"|"14:0"|"3"|10500.00
"613"|"g"|"F16D0"|"16:0"|"3"|10700.00
"614"|"g"|"F18D0"|"18:0"|"3"|10900.00
"615"|"g"|"F20D0"|"20:0"|"3"|11100.00
"617"|"g"|"F18D1"|"18:1 undifferentiated"|"3"|12100.00
"618"|"g"|"F18D2"|"18:2 undifferentiated"|"3"|13100.00
"619"|"g"|"F18D3"|"18:3 undifferentiated"|"3"|13900.00
"620"|"g"|"F20D4"|"20:4 undifferentiated"|"3"|14700.00
"621"|"g"|"F22D6"|"22:6 n-3 (DHA)"|"3"|15300.00
"624"|"g"|"F22D0"|"22:0"|"3"|11200.00
"625"|"g"|"F14D1"|"14:1"|"3"|11500.00
"626"|"g"|"F16D1"|"16:1 undifferentiated"|"3"|11700.00
"627"|"g"|"F18D4"|"18:4"|"3"|14250.00
"628"|"g"|"F20D1"|"20:1"|"3"|12400.00
"629"|"g"|"F20D5"|"20:5 n-3 (EPA)"|"3"|15000.00
"630"|"g"|"F22D1"|"22:1 undifferentiated"|"3"|12500.00
"631"|"g"|"F22D5"|"22:5 n-3 (DPA)"|"3"|15200.00
"636"|"mg"|"PHYSTR"|"Phytosterols"|"0"|15800.00
"638"|"mg"|"STID7"|"Stigmasterol"|"0"|15900.00
"639"|"mg"|"CAMD5"|"Campesterol"|"0"|16000.00
"641"|"mg"|"SITSTR"|"Beta-sitosterol"|"0"|16200.00
"645"|"g"|"FAMS"|"Fatty acids, total monounsaturated"|"3"|11400.00
"646"|"g"|"FAPU"|"Fatty acids, total polyunsaturated"|"3"|12900.00
"652"|"g"|"F15D0"|"15:0"|"3"|10600.00
"653"|"g"|"F17D0"|"17:0"|"3"|10800.00
"654"|"g"|"F24D0"|"24:0"|"3"|11300.00
"662"|"g"|"F16D1T"|"16:1 t"|"3"|11900.00
"663"|"g"|"F18D1T"|"18:1 t"|"3"|12300.00
"664"|"g"||"22:1 t"|"3"|12700.00
"665"|"g"||"18:2 t not further defined"|"3"|13800.00
"666"|"g"||"18:2 i"|"3"|13700.00
"669"|"g"|"F18D2TT"|"18:2 t,t"|"3"|13600.00
"670"|"g"|"F18D2CLA"|"18:2 CLAs"|"3"|13300.00
"671"|"g"|"F24D1C"|"24:1 c"|"3"|12800.00
"672"|"g"|"F20D2CN6"|"20:2 n-6 c,c"|"3"|14300.00
"673"|"g"|"F16D1C"|"16:1 c"|"3"|11800.00
"674"|"g"|"F18D1C"|"18:1 c"|"3"|12200.00
"675"|"g"|"F18D2CN6"|"18:2 n-6 c,c"|"3"|13200.00
"676"|"g"||"22:1 c"|"3"|12600.00
"685"|"g"|"F18D3CN6"|"18:3 n-6 c,c,c"|"3"|14100.00
"687"|"g"|"F17D1"|"17:1"|"3"|12000.00
"689"|"g"|"F20D3"|"20:3 undifferentiated"|"3"|14400.00
"693"|"g"|"FATRNM"|"Fatty acids, total trans-monoenoic"|"3"|15500.00
"695"|"g"|"FATRNP"|"Fatty acids, total trans-polyenoic"|"3"|15600.00
"696"|"g"|"F13D0"|"13:0"|"3"|10400.00
"697"|"g"|"F15D1"|"15:1"|"3"|11600.00
"851"|"g"|"F18D3CN3"|"18:3 n-3 c,c,c (ALA)"|"3"|14000.00
"852"|"g"|"F20D3N3"|"20:3 n-3"|"3"|14500.00
"853"|"g"|"F20D3N6"|"20:3 n-6"|"3"|14600.00
"855"|"g"|"F20D4N6"|"20:4 n-6"|"3"|14900.00
"856"|"g"||"18:3i"|"3"|14200.00
"857"|"g"|"F21D5"|"21:5"|"3"|15100.00
"858"|"g"|"F22D4"|"22:4"|"3"|15160.00
